rank,name,league_points,match_ids
32,Unknown,1322,"NA1_5269468556,NA1_5268977966,NA1_5268772748,NA1_5268119183,NA1_5268104354,NA1_5268081787,NA1_5267828002,NA1_5267801168,NA1_5267772128,NA1_5267366065"
33,Unknown,1322,"NA1_5268277043,NA1_5262946027,NA1_5262915290,NA1_5262695607,NA1_5262672072,NA1_5262051100,NA1_5262038913,NA1_5262024043,NA1_5262006659,NA1_5261586464"
34,Unknown,1318,"NA1_5269415660,NA1_5269384285,NA1_5269355568,NA1_5269338899,NA1_5269301630,NA1_5269269295,NA1_5269223878,NA1_5269188181,NA1_5269157409,NA1_5269131482"
35,Unknown,1315,"NA1_5266789768,NA1_5265962317,NA1_5264607767,NA1_5264578650,NA1_5264549729,NA1_5263500670,NA1_5263473496,NA1_5263227314,NA1_5263200147,NA1_5263165462"
36,Unknown,1309,"NA1_5268786239,NA1_5268756661,NA1_5268740939,NA1_5268704712,NA1_5267471405,NA1_5267442556,NA1_5267413012,NA1_5267370329,NA1_5266812631,NA1_5266775531"
37,Unknown,1291,"NA1_5269178745,NA1_5268744532,NA1_5268711549,NA1_5267992676,NA1_5267955010,NA1_5267911727,NA1_5267876546,NA1_5267093983,NA1_5267034562,NA1_5264982817"
38,Unknown,1280,"NA1_5269155851,NA1_5269128503,NA1_5269095299,NA1_5269081050,NA1_5269061014,NA1_5267925906,NA1_5267898190,NA1_5267858848,NA1_5267828002,NA1_5267178417"
39,Unknown,1265,"NA1_5269291702,NA1_5267455138,NA1_5267424100,NA1_5267390392,NA1_5267320298,NA1_5266841942,NA1_5266820729,NA1_5266805755,NA1_5266775531,NA1_5266760966"
40,Unknown,1264,"NA1_5269286759,NA1_5269205910,NA1_5268665402,NA1_5268626929,NA1_5268333371,NA1_5268112345,NA1_5268085849,NA1_5268057511,NA1_5267911727,NA1_5267702047"
41,Unknown,1263,"NA1_5269384285,NA1_5269355568,NA1_5269338899,NA1_5269301630,NA1_5269269295,NA1_5269223878,NA1_5269188181,NA1_5269155851,NA1_5269128503,NA1_5269108952"
42,Unknown,1254,"NA1_5269094995,NA1_5269046066,NA1_5269027865,NA1_5268564398,NA1_5268533490,NA1_5268485303,NA1_5268333371,NA1_5268314573,NA1_5267857321,NA1_5267827582"
43,Unknown,1253,"NA1_5268834224,NA1_5268808694,NA1_5266827259,NA1_5266812631,NA1_5266796032,NA1_5266774392,NA1_5266743961,NA1_5266081521,NA1_5266048243,NA1_5266028828"
44,Unknown,1251,"NA1_5269510824,NA1_5269424352,NA1_5269391752,NA1_5269355568,NA1_5268808694,NA1_5268791285,NA1_5268769873,NA1_5268137708,NA1_5268112345,NA1_5268077440"
45,Unknown,1249,"NA1_5269036309,NA1_5268502196,NA1_5267702047,NA1_5267122746,NA1_5267012150,NA1_5265748138,NA1_5265734982,NA1_5265681839,NA1_5265660922,NA1_5264286653"
46,Unknown,1243,"NA1_5269479021,NA1_5269449400,NA1_5269434952,NA1_5269366931,NA1_5269316523,NA1_5268527873,NA1_5268502196,NA1_5268481305,NA1_5267283417,NA1_5267250820"
47,Unknown,1242,"NA1_5268757235,NA1_5268729721,NA1_5268704712,NA1_5268673465,NA1_5267948959,NA1_5267390392,NA1_5267258995,NA1_5267224567,NA1_5267178965,NA1_5267155308"
48,Unknown,1235,"NA1_5268564398,NA1_5268525454,NA1_5268498522,NA1_5268481305,NA1_5268455635,NA1_5267003261,NA1_5266201576,NA1_5264487460,NA1_5264448040,NA1_5264368948"
49,Unknown,1234,"NA1_5262795967,NA1_5262247364,NA1_5261478480,NA1_5261442751,NA1_5261415569,NA1_5261390687,NA1_5261365193,NA1_5261337177,NA1_5260432720,NA1_5260415071"
50,Unknown,1228,"NA1_5269188181,NA1_5269155851,NA1_5269115096,NA1_5269084409,NA1_5269045994,NA1_5267178965,NA1_5267155308,NA1_5267130271,NA1_5267102243,NA1_5267028112"
51,Unknown,1226,"NA1_5269046066,NA1_5269027865,NA1_5269010961,NA1_5268437340,NA1_5268415760,NA1_5268388784,NA1_5268369087,NA1_5268350261,NA1_5268329001,NA1_5268308516"
52,Unknown,1219,"NA1_5268296732,NA1_5268277043,NA1_5268265455,NA1_5264048959,NA1_5264031624,NA1_5264024329,NA1_5260291509,NA1_5260285377,NA1_5258799937,NA1_5258169099"
53,Unknown,1218,"NA1_5268855334,NA1_5267559933,NA1_5267548542,NA1_5267540953,NA1_5267527661,NA1_5267509228,NA1_5267496855,NA1_5266879980,NA1_5266869209,NA1_5266189062"
54,Unknown,1202,"NA1_5269139966,NA1_5269118984,NA1_5269094995,NA1_5269070478,NA1_5269052069,NA1_5268455635,NA1_5267721439,NA1_5267064265,NA1_5267034562,NA1_5267003261"
55,Unknown,1202,"NA1_5268598884,NA1_5267923175,NA1_5266775531,NA1_5266743961,NA1_5265985927,NA1_5265962317,NA1_5265922664,NA1_5265904320,NA1_5263507400,NA1_5263143587"
56,Unknown,1201,"NA1_5269391555,NA1_5267053211,NA1_5266848203,NA1_5266129342,NA1_5266117504,NA1_5266105475,NA1_5266092219,NA1_5261539569,NA1_5261503984,NA1_5261469105"
57,Unknown,1200,"NA1_5269139966,NA1_5269115096,NA1_5269093298,NA1_5268808694,NA1_5268803484,NA1_5268786713,NA1_5268756661,NA1_5268162498,NA1_5268137708,NA1_5267868683"
58,Unknown,1195,"NA1_5269434952,NA1_5269401543,NA1_5269366931,NA1_5269316523,NA1_5269205910,NA1_5269128503,NA1_5269108952,NA1_5268525454,NA1_5267777663,NA1_5266600834"
59,Unknown,1189,"NA1_5269020358,NA1_5269003276,NA1_5268057511,NA1_5268017534,NA1_5267977084,NA1_5267936002,NA1_5267827582,NA1_5267801168,NA1_5267776982,NA1_5266005105"
60,Unknown,1186,"NA1_5269574042,NA1_5269567938,NA1_5268897821,NA1_5268816504,NA1_5268791620,NA1_5268776182,NA1_5268384912,NA1_5268363490,NA1_5267681716,NA1_5267553875"
61,Unknown,1186,"NA1_5268711549,NA1_5268656571,NA1_5268626929,NA1_5268127743,NA1_5266789768,NA1_5266080906,NA1_5266064336,NA1_5265259234,NA1_5264521731,NA1_5263228146"
62,Unknown,1177,"NA1_5268545347,NA1_5268516566,NA1_5268498522,NA1_5268478290,NA1_5265179523,NA1_5264568113,NA1_5264533663,NA1_5264514245,NA1_5262314451,NA1_5262283277"
